product,batch,reg,reg_lookup,server_lookup,key,value
mn3,mn3,eu-west-1,eu,db,maintwindow-macent-ttmn3,rebootgroup1-dbonly
mn3,mn3,eu-west-1,eu,nondb,maintwindow-macent-ttmn3,rebootgroup2-nondb
mn3,mn3,eu-central-1,eu,db,maintwindow-macent-ttmn3,rebootgroup1-dbonly
mn3,mn3,eu-central-1,eu,nondb,maintwindow-macent-ttmn3,rebootgroup2-nondb
mn5,mn5-14,ap-southeast-1,ap,db,maintwindow-macent-mn5,rebootgroup1-dbonly
mn5,mn5-14,ap-southeast-1,ap,nondb,maintwindow-macent-mn5,rebootgroup2-nondb
mn5,mn5-14,ap-southeast-2,ap,db,maintwindow-macent-mn5,rebootgroup1-dbonly
mn5,mn5-14,ap-southeast-2,ap,nondb,maintwindow-macent-mn5,rebootgroup2-nondb
mn14,mn5-14,ap-southeast-1,ap,db,maintwindow-macent-mn14,rebootgroup1-dbonly
mn14,mn5-14,ap-southeast-1,ap,nondb,maintwindow-macent-mn14,rebootgroup2-nondb
mn14,mn5-14,ap-southeast-2,ap,db,maintwindow-macent-mn14,rebootgroup1-dbonly
mn14,mn5-14,ap-southeast-2,ap,nondb,maintwindow-macent-mn14,rebootgroup2-nondb
mn11,mn11,us-east-1,us,db,maintwindow-macent-mn11,rebootgroup1-dbonly
mn11,mn11,us-east-1,us,nondb,maintwindow-macent-mn11,rebootgroup2-nondb
mn11,mn11,us-west-2,us,db,maintwindow-macent-mn11,rebootgroup1-dbonly
mn11,mn11,us-west-2,us,nondb,maintwindow-macent-mn11,rebootgroup2-nondb
me1,dfme,eu-west-1,eu,nondb,maintwindow-dfme-me1,rebootgroup2-nondb
me5,dfme,eu-west-1,eu,db,maintwindow-dfme-me5,rebootgroup1-dbonly
me5,dfme,eu-west-1,eu,nondb,maintwindow-dfme-me5,rebootgroup2-nondb
me5,dfme,eu-central-1,eu,db,maintwindow-dfme-me5,rebootgroup1-dbonly
me5,dfme,eu-central-1,eu,nondb,maintwindow-dfme-me5,rebootgroup2-nondb
me6,dfme,us-east-1,us,db,maintwindow-dfme-me6,rebootgroup1-dbonly
me6,dfme,us-east-1,us,nondb,maintwindow-dfme-me6,rebootgroup2-nondb
me6,dfme,us-west-2,us,db,maintwindow-dfme-me6,rebootgroup1-dbonly
me6,dfme,us-west-2,us,nondb,maintwindow-dfme-me6,rebootgroup2-nondb
me7,dfme,eu-west-1,eu,db,maintwindow-dfme-me7,rebootgroup1-dbonly
me7,dfme,eu-west-1,eu,nondb,maintwindow-dfme-me7,rebootgroup2-nondb
me8,dfme,eu-west-1,eu,db,maintwindow-dfme-me8,rebootgroup1-dbonly
me8,dfme,eu-west-1,eu,nondb,maintwindow-dfme-me8,rebootgroup2-nondb
pim1,pim,us-east-1,us,db,maintwindow-pim-pm1,rebootgroup1-dbonly
pim1,pim,us-east-1,us,nondb,maintwindow-pim-pm1,rebootgroup2-nondb
pim1,pim,us-west-2,us,db,maintwindow-pim-pm1,rebootgroup1-dbonly
pim1,pim,us-west-2,us,nondb,maintwindow-pim-pm1,rebootgroup2-nondb
pim2,pim,eu-west-1,eu,db,maintwindow-pim-pm2,rebootgroup1-dbonly
pim2,pim,eu-west-1,eu,nondb,maintwindow-pim-pm2,rebootgroup2-nondb
pim2,pim,eu-central-1,eu,db,maintwindow-pim-pm2,rebootgroup1-dbonly
pim2,pim,eu-central-1,eu,nondb,maintwindow-pim-pm2,rebootgroup2-nondb
pim3,pim,ap-southeast-1,ap,db,maintwindow-pim-pm3,rebootgroup1-dbonly
pim3,pim,ap-southeast-1,ap,nondb,maintwindow-pim-pm3,rebootgroup2-nondb
pim3,pim,ap-southeast-2,ap,db,maintwindow-pim-pm3,rebootgroup1-dbonly
pim3,pim,ap-southeast-2,ap,nondb,maintwindow-pim-pm3,rebootgroup2-nondb
